x,y
1.666780884481555147e-01,8.799915122135315571e-01
1.884217805633852105e-01,8.345205329056312182e-01
2.045494501736707105e-01,7.955223366054186007e-01
2.145744144296594935e-01,7.634277580142324604e-01
2.180099904819990664e-01,7.386676318334114422e-01
2.143694954813370468e-01,7.216727927642948570e-01
2.031662465783209970e-01,7.128740755082215719e-01
1.839135927535318626e-01,7.127022826784726872e-01
1.563581622724411202e-01,7.213530458295790426e-01
1.210399113971177970e-01,7.382222350413929490e-01
7.866728506716162694e-02,7.625358653605562864e-01
2.994872822217267347e-02,7.935199518337107127e-01
-2.440731419824942322e-02,8.304005095074978859e-01
-8.369239725450429435e-02,8.724035534285592419e-01
-1.471980760069922789e-01,9.187550986435371048e-01
-2.142159055161135250e-01,9.686811601990724663e-01
-2.840374408422680630e-01,1.021407753141807540e+00
-3.559542370458557148e-01,1.076160892518383427e+00
-4.292578491872768853e-01,1.132166593375442787e+00
-5.032398323269313689e-01,1.188650870759626166e+00
-5.771917415252194594e-01,1.244839739717576110e+00
-6.504051318425426720e-01,1.299959215295935389e+00
-7.221715583392981364e-01,1.353235312541343216e+00
-7.917825760758874232e-01,1.403894046500442361e+00
-8.585297401127101047e-01,1.451161432219873815e+00
-9.217046055101670854e-01,1.494263484746281012e+00
-9.805987273286580486e-01,1.532426219126304279e+00
-1.034503660628583122e+00,1.564875650406585939e+00
-1.082710960470341988e+00,1.590837793633767427e+00
-1.124512181914335551e+00,1.609538663854490848e+00
-1.159198880020963385e+00,1.620204276115397191e+00
-1.186062609850624838e+00,1.622060645463128115e+00
-1.204401739009783201e+00,1.614340211937439928e+00
-1.214036232639569723e+00,1.596767340408848712e+00
-1.215667110412634422e+00,1.569897328742179354e+00
-1.210080348829339902e+00,1.534365598595635483e+00
-1.198061924390048993e+00,1.490807571627421169e+00
-1.180397813595124079e+00,1.439858669495739374e+00
-1.157873992944927766e+00,1.382154313858793282e+00
-1.131276438939822437e+00,1.318329926374787409e+00
-1.101391128080170700e+00,1.249020928701924049e+00
-1.069004036866335161e+00,1.174862742498407497e+00
-1.034901141798678204e+00,1.096490789422440715e+00
-9.998684193775625451e-01,1.014540491132227551e+00
-9.646918461033507919e-01,9.296472692859714115e-01
-9.301573984764053282e-01,8.424465455418755910e-01
-8.970510529970886493e-01,7.535737415581434950e-01
-8.661587861657635834e-01,6.636642789929790842e-01
-8.382665744827924037e-01,5.733535795045853201e-01
-8.141495720362023070e-01,4.832782265033788160e-01
-7.942740781382024995e-01,3.941079579967459723e-01
-7.787600381878904132e-01,3.065496920044857299e-01
-7.677090444598962948e-01,2.213123166970710487e-01
-7.612226892288506130e-01,1.391047202449748332e-01
-7.594025647693836145e-01,6.063579081867015441e-02
-7.623502633561259900e-01,-1.338558341136993415e-02
-7.701673772637079862e-01,-8.225051427467253151e-02
-7.829554987667600718e-01,-1.452501136007646187e-01
-8.008162201399127156e-01,-2.016754932191731908e-01
-8.238511336577963862e-01,-2.508177649594253156e-01
-8.521618315950425515e-01,-2.919680406510490323e-01
-8.858499062262795709e-01,-3.244174321235686609e-01
-9.250169398936458620e-01,-3.474570758256355085e-01
-9.696605269825524509e-01,-3.606358574215010049e-01
-1.019417853404131824e+00,-3.643959871917056281e-01
-1.073848076980720156e+00,-3.593730793388909550e-01
-1.132510355534652957e+00,-3.462027480656991729e-01
-1.194963846888266845e+00,-3.255206075747722472e-01
-1.260767708863897552e+00,-2.979622720687521431e-01
-1.329481099283880807e+00,-2.641633557502805485e-01
-1.400663175970552787e+00,-2.247594728219995952e-01
-1.473873096746249667e+00,-1.803862374865512486e-01
-1.548670019433306733e+00,-1.316792639465772241e-01
-1.624613101854061048e+00,-7.927416640471965370e-02
-1.701261501830847456e+00,-2.380655906362058941e-02
-1.778174377186002797e+00,3.408794387407857590e-02
-1.854910885741862359e+00,9.377372820573513790e-02
-1.931030185320762538e+00,1.546151797287078078e-01
-2.006091433745039065e+00,2.159766842403542664e-01
-2.079653788837027673e+00,2.772226275380328397e-01
-2.151276408419065422e+00,3.377173954191014515e-01
-2.220518450313488046e+00,3.968253736809184140e-01
-2.286939072342630386e+00,4.539109481208412622e-01
-2.350097432328828617e+00,5.083385045362284194e-01
-2.409552688094419803e+00,5.594724287244380312e-01
-2.464863997461738787e+00,6.066771064828279103e-01
-2.515590518253122632e+00,6.493169236087563689e-01
-2.561291408290906624e+00,6.867562658995812752e-01
-2.601525825397427383e+00,7.183595191526610524e-01
-2.635852927395019307e+00,7.434910691653531245e-01
-2.663831872106019905e+00,7.615153017350162479e-01
-2.685021817352764462e+00,7.717966026590077355e-01
-2.698981920957589598e+00,7.736993577346866768e-01
-2.705271340742830599e+00,7.665879527594102738e-01
-2.703607092306423265e+00,7.500146859353412632e-01
-2.694506569673722485e+00,7.244846183835301767e-01
-2.678740224836798856e+00,6.908040490379865339e-01
-2.657078608390317065e+00,6.497793942083197605e-01
-2.630292270928945353e+00,6.022170702041398371e-01
-2.599151763047350183e+00,5.489234933350570778e-01
-2.564427635340199352e+00,4.907050799106817407e-01
-2.526890438402158434e+00,4.283682462406234182e-01
-2.487310722827895670e+00,3.627194086344922574e-01
-2.446459039212077968e+00,2.945649834018986279e-01
-2.405105938149370903e+00,2.247113868524522606e-01
-2.364021970234444048e+00,1.539650352957633583e-01
-2.323977686061962089e+00,8.313234504144184633e-02
-2.285743636226592823e+00,1.301973239909769847e-02
-2.250090371323003158e+00,-5.556638632165864650e-02
-2.217788441945860001e+00,-1.218195948112176519e-01
-2.189608398689831148e+00,-1.849334767599690177e-01
-2.166320792149581287e+00,-2.441016158583045881e-01
-2.148696172919781322e+00,-2.985175957966103022e-01
-2.137505091595095053e+00,-3.473750002652783997e-01
-2.133518098770190274e+00,-3.898674129546985112e-01
-2.137505745039734339e+00,-4.251884175552608780e-01
-2.150238580998386162e+00,-4.525315977573624027e-01
-2.172177034666192164e+00,-4.713846470852789405e-01
-2.202542123667062590e+00,-4.824106742557096039e-01
-2.240245282766472279e+00,-4.865663859705381400e-01
-2.284197946729892514e+00,-4.848084889316478518e-01
-2.333311550322797689e+00,-4.780936898409224312e-01
-2.386497528310661753e+00,-4.673786954002453475e-01
-2.442667315458957766e+00,-4.536202123115002927e-01
-2.500732346533158346e+00,-4.377749472765705696e-01
-2.559604056298737884e+00,-4.207996069973400921e-01
-2.618193879521168554e+00,-4.036508981756922188e-01
-2.675413250965925638e+00,-3.872855275135104747e-01
-2.730173605398480863e+00,-3.726602017126784405e-01
-2.781386377584308622e+00,-3.607316274750799190e-01
-2.827963002288881533e+00,-3.524565115025981576e-01
-2.868814914277673545e+00,-3.487915604971167371e-01
-2.902853548316157273e+00,-3.506934811605194602e-01
-2.928990339169807111e+00,-3.591189801946895743e-01
-2.946173414534431600e+00,-3.749930248542570621e-01
-2.954381682163612854e+00,-3.983489558877437164e-01
-2.954740741252167791e+00,-4.282282239933929424e-01
-2.948436148759748576e+00,-4.636204163007135448e-01
-2.936653461646010488e+00,-5.035151199392147170e-01
-2.920578236870606581e+00,-5.469019220384051527e-01
-2.901396031393191244e+00,-5.927704097277942674e-01
-2.880292402173417532e+00,-6.401101701368908659e-01
-2.858452906170939389e+00,-6.879107903952040859e-01
-2.837063100345411204e+00,-7.351618576322428433e-01
-2.817308541656485144e+00,-7.808529589775161650e-01
-2.800374787063816928e+00,-8.239736815605329667e-01
-2.787447393527059170e+00,-8.635136125108026084e-01
-2.779711918005866256e+00,-8.984623389578340058e-01
-2.778353917459890798e+00,-9.278094480311358527e-01
-2.784558948848787630e+00,-9.505445268602173980e-01
-2.799406097067961063e+00,-9.657527262892411368e-01
-2.822789741532564012e+00,-9.735825263770609972e-01
-2.853864386265053010e+00,-9.748464803495706654e-01
-2.891773257426181853e+00,-9.703672638470751677e-01
-2.935659581176707000e+00,-9.609675525098803073e-01
-2.984666583677384910e+00,-9.474700219782918875e-01
-3.037937491088968933e+00,-9.306973478926144905e-01
-3.094615529572214196e+00,-9.114722058931534754e-01
-3.153843925287877603e+00,-8.906172716202147566e-01
-3.214765904396713836e+00,-8.689552207141038043e-01
-3.276524693059477578e+00,-8.473087288151255336e-01
-3.338263517436924843e+00,-8.265004715635856369e-01
-3.399125603689812980e+00,-8.073531245997886963e-01
-3.458254177978892674e+00,-7.906893635640417362e-01
-3.514792466464921272e+00,-7.773318640966492277e-01
-3.567883695308653902e+00,-7.681033018379165300e-01
-3.616671090670847466e+00,-7.638263524281492245e-01
-3.660297878712253983e+00,-7.653236915076523372e-01
-3.697907285593632576e+00,-7.734179947167317826e-01
-3.728642537475736596e+00,-7.889319376956926977e-01
-3.751646860519320725e+00,-8.126881960848404418e-01
-3.766063480885140091e+00,-8.455094455244802631e-01
-3.771035624733951597e+00,-8.882183616549178540e-01
-3.765706518226510813e+00,-9.416376201164585735e-01
-3.749219387523570646e+00,-1.006589896549407559e+00
-3.720717458785888443e+00,-1.083897866594070392e+00
-3.679343958174218887e+00,-1.174384205890752320e+00
-3.624242111849316661e+00,-1.278871590079759146e+00
-3.554555145971938224e+00,-1.398182694801395787e+00
-3.469426286702837814e+00,-1.533140195695967822e+00
